Type,Volume,Name,Chapter,Eps,Date,,,,Key,
Event,,Hot Springs Resort No. 227 Daily Logs!,,1-12,22/07/12,,,,,
Main Story,,Volume 3 - Eden Treaty: Our Stories,3,1-9,22/07/26,,,,,
Event,,New Year's Rhapsody No. 68,,1-20,22/08/09,,,,,
Main Story,,Volume 3 - Eden Treaty: Our Stories,3,10-25,22/08/23,,,,,
Event,,Schale's Happy ♡ Valentine Patrol,,1-9,22/09/06,Interwoven with one below.,,,,
Event,,Kosaka Wakamo's Silence and Feast,,1-12,22/09/06,Interwoven with one above.,,,,
Group Story,,Veritas,,1-3,22/09/06,,,,,
Event,,The Clumsy Sister and the Magician of the Old Library,,1-15,22/10/04,,,,,
Group Story,,Red Winter Office,,1-3,22/10/18,,,,,
Group Story,,Spec Ops No. 227,,1-2,22/10/18,,,,,
Main Story,,"Volume 4 - Rabbit of Caerbannog: RABBIT Squad, Begin Operation!",1,1-11,22/11/08,,,,,
Main Story,,"Volume 4 - Rabbit of Caerbannog: RABBIT Squad, Begin Operation!",1,12-20,22/11/15,,,,,
Event,,An Unconcealed Heart,,1-19,22/11/29,,,,,
Group Story,,Ninjutsu Research Club,,1-2,22/11/29,,,,,
Main Story,,Volume 3 - Eden Treaty: Kyrie of the Forgotten Gods,4,1-10,22/12/20,,,,,
Main Story,,Ex. Decagrammaton: Snake of Wisdom,1,4-5,22/12/20,,,,,
Main Story,,Volume 3 - Eden Treaty: Kyrie of the Forgotten Gods,4,11-16,23/01/03,,,,,
Event,,Abydos Resort Restoration Task Force,,1-16,23/01/17,,,,,
Event,,Business Trip! Momoyodou Beach Shack Franchise Plan,,1-13,23/01/31,,,,,
Main Story,,Ex. Decagrammaton: Snake of Wisdom,1,6-8,23/02/14,,,,,
Main Story,,Volume 3 - Eden Treaty: Kyrie of the Forgotten Gods,4,17-27,23/02/14,,,,,
Event,,After-School Sweets Story: Sweet Secrets and Shootouts,,1-17,23/02/28,,,,,
Group Story,,RABBIT Squad,,1-3,23/02/28,,,,,
Event,,"On your mark ＠ Millennium, Kivotos Halo Festival",,1-11,23/03/28,,,,,
Group Story,,Seminar,,1-3,23/03/28,Sub Stories changed to Group Stories,,,,
Group Story,,Cleaning & Clearing,,2-3,23/04/11,,,,,
Event,,"Get Set, Go! Kivotos Halo Festival!",,1-19,23/04/25,,,,,
Main Story,,Ex. Decagrammaton: Snake of Wisdom,1,9-13,23/05/09,,,,,
Main Story,,"Volume 2 - Clockwork Flower Pavane: The Romance of Friendship, Courage, and Light",2,1-10,23/05/23,,,,,
Main Story,,"Volume 2 - Clockwork Flower Pavane: The Romance of Friendship, Courage, and Light",2,11-25,23/05/30,,,,,
Event,,The Cathedral's Merry Christmas: Remedial Knights' Gift,,1-11,23/06/13,,,,,
Mini Story,,The Red Winter Tour Log,,1-2,23/06/13,,,,,
Event,,New Year's Aperitif: One-and-Done Match,,1-15,23/06/27,,,,,
Main Story,,Final Volume - Where All Miracles Begin: Operation Recapture Schale,1,1-15,23/07/11,,,,,
Main Story,,Final Volume - Where All Miracles Begin: Operational Plan: Nisir's Summit,2,1-21,23/07/25,,,,,
Event,,Operational Plan: Nisir's Summit,,1-16,23/07/25,Between eps 20 and 21 of above.,,,,
Main Story,,Final Volume - Where All Miracles Begin: The Ark of Atrahasis Conquest,3,1-16,23/08/22,,,,,
Event,,The Ark of Atrahasis Conquest,,1-9,23/08/22,Between eps 15 and 16 of above.,,,,
Main Story,,Final Volume - Where All Miracles Begin: Phrenapates Showdown,4,1-10,23/09/05,The episodes in this chapter come before and after various parts of the fights in the showdown below.,,,,
Event,,Phrenapates Showdown,,1-6,23/09/05,I'll probably break this down better at some point.,,,,
Event,,Restoration Project: D.U. Shiratori City,,1,23/09/09,Part of 09/05 patch,,,,
Main Story,,Final Volume - Where All Miracles Begin: Phrenapates Showdown,4,11,23/10/03,Part of 09/26 patch,,,,
Main Story,,Final Volume - Where All Miracles Begin: Phrenapates Showdown,4,12,23/10/28,Part of 10/17 patch,,,,
Event,,Alabaster Calling Card: Mansion Masquerade and the Essence of Beauty,,1-16,23/10/31,,,,,
Main Story,,Volume 4 - Rabbit of Caerbannog: We were RABBITs!,2,1-10,23/11/28,,,,,
Event,,"Dragon & Tortoise, Working Together for a Better Future",,1-13,23/11/28,,,,,
Main Story,,Volume 4 - Rabbit of Caerbannog: We were RABBITs!,2,11-24,23/12/19,,,,,
Event,,Summer Special Mission! RABBIT Squad and the Mystery of the Missing Shrimp,,1-14,23/12/19,,,,,
Event,,Trinity Extracurriculars: In Search of Hidden Ruins,,1-15,24/01/30,,,,,
Event,,Academy Club Story: A Pair's Final Adventure,,1-15,24/02/27,Part of 02/20 Patch,,,,
Event,,Trip-Trap-Train,,1-12,24/04/02,,,,,
Mini Story,,Thermai Akai,,1-3,24/04/16,,,,,
Event,,A Certain Scientific Record of Youth,,1-12,24/04/30,"Collab, view here.",,,,
Main Story,,Volume 5 - Hyakkaryouran: Like the Flower That Wishes to Bloom,1,1-13,24/05/14,,,,,
Group Story,,Yin-Yang Club,,1-2,24/05/14,,,,,
Main Story,,Volume 5 - Hyakkaryouran: Like the Flower That Wishes to Bloom,1,14-26,24/05/28,,,,,
Main Story,,Ex. Decagrammaton: Snake of Wisdom,1,14-17,24/06/11,,,,,
Event,,Cyber New Year March,,1-10,24/06/25,,,,,
Group Story,,Athletics Training Club,,1-3,24/06/25,,,,,
Event,,Basking in the Brilliance of Their Serenade,,1-10,24/07/23,,,,,
Main Story,,Volume 1 - Foreclosure Task Force: Traces of a Dream,3,1,24/08/06,,,,,
Event,,From Opera 0068 with Love!,,1-15,24/08/20,,,,,
Event,,Rowdy and Cheery,,1-16,24/09/24,,,,,
Group Story,,Festival Operations Department,,2,24/09/24,,,,,
Main Story,,Volume 1 - Foreclosure Task Force: Traces of a Dream,3,2-7,24/10/08,,,,,
Event,,-ive aLIVE!,,1-47,24/10/22,,,,,
Mini Story,,Kirara and Erika's Twinkling Day,,1-2,24/11/05,,,,,
Main Story,,Volume 1 - Foreclosure Task Force: Traces of a Dream,3,8-16,24/12/03,,,,,
Main Story,,Volume 1 - Foreclosure Task Force: Traces of a Dream,3,17-27,24/12/17,Part of 12/03 patch.,,,,
Event,,Say-Bing!,,1-19,24/12/24,,,,,
Main Story,,Volume 1 - Foreclosure Task Force: Traces of a Dream,3,28-34,25/01/16,Part of 01/07 patch.,,,,
Main Story,,Volume 1 - Foreclosure Task Force: Traces of a Dream,3,35-43,25/01/23,,,,,
Event,,Sheside Outside,,1-21,25/01/23,,,,,
Event,,"Radiant Moon, Raucous Dream",,1-15,25/02/18,,,,,
Group Story,,Genryumon,,1-3,25/03/04,,,,,
Event,,The Senses Descend,,1-17,25/03/18,,,,,
Event,,Serenade Promenade,,1-19,25/04/15,,,,,
Main Story,,Ex. Decagrammaton: Flaming Sword,2,1-12,25/04/29,,,,,
Group Story,,Hot Springs Department,,1-2,25/05/27,,,,,
Mini Story,,Highlander Logs,,1-2,25/06/03,Part of 05/27 patch.,,,,
Mini Story,,Lost Gift,,1-3,25/06/03,Part of 05/27 patch.,,,,
Event,,Secret Midnight Party: The Chimes of Tag,,1-15,25/06/10,,,,,
Event,,"Code: BOX - The Shadow Approaching Millennium: One Question, Two Answers",,1-9,25/07/08,,,,,
Main Story,,Ex. Decagrammaton: Flaming Sword,2,13-22,25/07/22,,,,,
Event,,Valentine's Day Promise,,,25/07/22,,,,,
Mini Story,,Record of a February 19th,,1-3,25/07/29,Part of 07/22 patch.,,,,
Event,,Pandemic Hazard: Miraculous Pancake,,1-10,25/08/05,,,,,
Mini Story,,"Fine Dining, Cookies, and Aid",,1-2,25/08/19,,,,,
Event,,Pray-Ball! Swing for the Grand Slam!,,1-12,25/08/26,,,,,
Mini Story,,Met You By Chance,,1-2,25/09/16,Part of 09/09 patch.,,,,
Event,,Highlander Railroad Runaway Incident: And the Train Disappeared,,1-13,25/09/23,,,,,
Main Story,,Ex. Decagrammaton: Flaming Sword,2,23-31,25/10/07,Part of 09/23 patch.,,,,
Main Story,,"Volume 5 - Hyakkaryouran: To You, Who's Trying to Bloom Alone",2,1-15,25/10/21,,,,,
Main Story,,"Volume 5 - Hyakkaryouran: To You, Who's Trying to Bloom Alone",2,16-28,25/10/28,Part of 10/21 patch.,,,,
Mini Story,,Fierce! Mouryo Night!,,1-3,25/11/11,Part of 11/04 patch.,,,,
Event,,A Flower Blooms Among the Hundred: Fair and Square Aquatic Showdown,,1-15,25/11/17,,,,,
Event,,Summer Sky's Promise,,1-12,25/12/16,,,,,
Mini Story,,Sweetness and Nostalgia,,1-3,26/01/06,Part of 12/30 patch.,,,,
Event,,We Are the Occult Investigation Society! Ancient Spells and Mysteries,,1-14,26/01/13,,,,,
Main Story,,Volume 6 - Oratorio of Days Gone By: Sights Beyond the Boundary,1,1-12,26/02/03,Part of 01/27 patch.,,,,
Event,,To Whom Art Belongs: The Fate of Forgeries and Aesthetics,,1-12,26/02/10,,,,,
Main Story,,Volume 6 - Oratorio of Days Gone By: Saying Goodbye to Yesterday,2,1-11,26/02/24,,,,,
Mini Story,,"And Yet, the Prefectural Council Goes On",,1-2,26/03/03,Part of 02/24 patch.,,,,
Event,,Magical Girl Heavy Caliber: Era's Ambitions and the Qualifications of Justice,,1-17,26/03/10,,,,,
Main Story,, Volume 6 - Oratorio of Days Gone By: Ecclesia for Those That Don't Disappear,,1-10,26/03/31,Part of 03/24 patch.,,,,
Event,,Winter Sky's Renaissance: Thesis on Cultural Exchange,,1-10,26/04/07,,,,,
Mini Story,,Ending Manual Transmission,,1-2,26/04/21,,,,,
Event,,An Unconcealed Path - Episode: Fashion Show Security Duty!,,1-13,26/04/28,Part of 04/21 patch.,,,,
Main Story,,Ex. Decagrammaton: The Sky of Unity,3,1-9,26/05/19,Part of 05/12 patch.,,,,
Main Story,,Ex. Decagrammaton: The Sky of Unity,3,10,26/05/26,,,,,
Event,,Operational Plan: Steel Continent,,1-23,26/05/26,,,,,
Event,,Operational Plan: Steel Continent - Allied Operation: Malkuth,,24-26,26/06/09,,,,,
Main Story,,Ex. Decagrammaton: The Sky of Unity,3,11,26/06/09,,,,,
Main Story,,Ex. Decagrammaton: The Sky of Unity,3,12-21,26/06/23,These next few are ordered as they unlocked.,,,,
Event,,Operational Plan: Steel Continent - Allied Operation: Decagrammaton Showdown,,27-29,26/06/23,,,,,
Main Story,,Ex. Decagrammaton: The Sky of Unity,3,22-26,26/06/23,,,,,
Event,,Game Development Department's Cleanup Operation!,,,26/06/30,Part of 06/23 patch.,,,,
Event,,Valentine's Day Promise,,,26/06/30,Part of 06/23 patch.,,,,
Event,,"Kivotos' Unsolved Mystery: In Search of Tsuchinoko, the Unknown Creature",,1-15,26/07/21,,,,,
Mini Story,,The Melancholy of Kanbara Misuzu,,1-2,26/08/11,Part of 08/04 patch.,,,,
Main Story,,Act 2: Prologue,,,,I will revisit these afer the patch is out to see how the game has them organized. I may need to start thinking about a new or improved organization method.,,,,
Main Story,,0. General Student Council: Chapter 1: A Spring Day Full of Almond Blossoms,,,,,,,,
Main Story,,Ex. Lore Pursuit: Chapter 1: High Noon Haze,,,,,,,,
Event,,Special Mission: Lore Pursuit,,,,,,,,
